movie_id,movie_name,year,decade,certificate,runtime_in_minutes,genre,rating,description,director,director_id,star,star_id,votes,gross_in_dollars
tt0085995,National Lampoon's Vacation,1983,1980s,R,98,Adventure,7.3,The Griswold family's cross-country drive to the Walley World theme park proves to be much more arduous than they ever anticipated.,Harold Ramis,/name/nm0000601/,"Chevy Chase, Beverly D'Angelo, Imogene Coca, Randy Quaid","/name/nm0000331/,/name/nm0000350/,/name/nm0168042/,/name/nm0001642/",112838,61400000
tt0371724,The Hitchhiker's Guide to the Galaxy,2005,2000s,PG,109,Adventure,6.7,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",Garth Jennings,/name/nm1134029/,"Martin Freeman, Yasiin Bey, Sam Rockwell, Zooey Deschanel","/name/nm0293509/,/name/nm0080049/,/name/nm0005377/,/name/nm0221046/",201187,51085416
tt3554046,Space Jam: A New Legacy,2021,2020s,PG,115,Adventure,4.5,"A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with Bugs Bunny to win a basketball game.",Malcolm D. Lee,/name/nm0002700/,"LeBron James, Don Cheadle, Cedric Joe, Khris Davis","/name/nm1429908/,/name/nm0000332/,/name/nm9347978/,/name/nm7800057/",73557,70592228
tt0970179,Hugo,2011,2010s,PG,126,Adventure,7.5,"In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.",Martin Scorsese,/name/nm0000217/,"Asa Butterfield, Chloë Grace Moretz, Christopher Lee, Ben Kingsley","/name/nm2633535/,/name/nm1631269/,/name/nm0000489/,/name/nm0001426/",326384,73864507
tt1854564,Percy Jackson: Sea of Monsters,2013,2010s,PG,106,Adventure,5.7,"In order to restore their dying safe haven, the son of Poseidon and his friends embark on a quest to the Sea of Monsters, to find the mythical Golden Fleece, all the while trying to stop an ancient evil from rising.",Thor Freudenthal,/name/nm0294457/,"Logan Lerman, Alexandra Daddario, Brandon T. Jackson, Nathan Fillion","/name/nm0503567/,/name/nm1275259/,/name/nm1040365/,/name/nm0277213/",120221,68559554
tt7146812,Onward,2020,2020s,PG,102,Adventure,7.4,Two elven brothers embark on a quest to bring their father back for one day.,Dan Scanlon,/name/nm0768959/,"Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer","/name/nm4043618/,/name/nm0695435/,/name/nm0000506/,/name/nm0818055/",153356,61555145
tt2262227,The Book of Life,2014,2010s,PG,95,Adventure,7.2,"Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears.",Jorge R. Gutiérrez,/name/nm1509613/,"Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman","/name/nm0526019/,/name/nm0757855/,/name/nm1475594/,/name/nm0000579/",73263,50151543
tt2850386,The Croods: A New Age,2020,2020s,PG,95,Adventure,6.9,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",Joel Crawford,/name/nm3150455/,"Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener","/name/nm0000115/,/name/nm1297015/,/name/nm0005351/,/name/nm0001416/",45904,58568815
tt6977338,Good Boys,2019,2010s,R,90,Adventure,6.7,"Three 6th grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.",Gene Stupnitsky,/name/nm1969144/,"Jacob Tremblay, Keith L. Williams, Brady Noon, Molly Gordon","/name/nm5016878/,/name/nm5470093/,/name/nm4054776/,/name/nm1094137/",75825,69056735
tt0138749,The Road to El Dorado,2000,2000s,PG,89,Adventure,6.9,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado.","Bibo Bergeron, Don Paul, Jeffrey Katzenberg",/name/nm0074426/,"Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante","/name/nm0666802/,/name/nm0005076/,/name/nm0000177/,/name/nm0000110/,/name/nm0001609/,/name/nm0000800/",99376,50863742
tt2281587,Muppets Most Wanted,2014,2010s,PG,107,Adventure,6.4,"While on a grand world tour, The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick.",James Bobin,/name/nm0090386/,"Ricky Gervais, Ty Burrell, Tina Fey, Steve Whitmire","/name/nm0315041/,/name/nm0123092/,/name/nm0275486/,/name/nm0926209/",35403,51183113
tt0074751,King Kong,1976,1970s,PG,134,Adventure,5.9,A petroleum exploration expedition comes to an isolated island and encounters a colossal giant gorilla.,John Guillermin,/name/nm0347086/,"Jeff Bridges, Charles Grodin, Jessica Lange, John Randolph","/name/nm0000313/,/name/nm0001301/,/name/nm0001448/,/name/nm0709907/",33554,52614445
tt0106611,Cool Runnings,1993,1990s,PG,98,Adventure,7,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.",Jon Turteltaub,/name/nm0005509/,"John Candy, Leon, Doug E. Doug, Rawle D. Lewis","/name/nm0001006/,/name/nm0502442/,/name/nm0234791/,/name/nm0507644/",106741,68856263
tt3691740,The BFG,2016,2010s,PG,117,Adventure,6.3,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",Steven Spielberg,/name/nm0000229/,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement","/name/nm0753314/,/name/nm6982717/,/name/nm0934362/,/name/nm1318596/",88088,55483770
tt0423294,Surf's Up,2007,2000s,PG,85,Adventure,6.7,"A behind-the-scenes look at the annual Penguin World Surfing Championship, and its newest participant, up-and-comer Cody Maverick.","Ash Brannon, Chris Buck",/name/nm0105169/,"Shia LaBeouf, Zooey Deschanel, Jon Heder, Jeff Bridges","/name/nm0118333/,/name/nm0479471/,/name/nm0221046/,/name/nm1417647/,/name/nm0000313/",82656,58867694
tt1753383,A Dog's Purpose,2017,2010s,PG,100,Adventure,7.2,A dog looks to discover his purpose in life over the course of several lifetimes and owners.,Lasse Hallström,/name/nm0002120/,"Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar","/name/nm1265802/,/name/nm0000598/,/name/nm0005152/,/name/nm7291339/",74289,64508620
tt0443536,Hoodwinked!,2005,2000s,PG,80,Adventure,6.5,"Little Red Riding Hood, the Wolf, the Woodsman, and Granny all tell the police the events that led up to their encounter.","Cory Edwards, Todd Edwards, Tony Leech",/name/nm0249897/,"Anne Hathaway, Glenn Close, Patrick Warburton, Jim Belushi","/name/nm0250410/,/name/nm0498555/,/name/nm0004266/,/name/nm0000335/,/name/nm0911320/,/name/nm0000902/",62969,51386611
tt0053285,Sleeping Beauty,1959,1950s,G,75,Adventure,7.2,"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.","Les Clark, Clyde Geronimi, Eric Larson, Wolfgang Reitherman, Hamilton Luske",/name/nm0164203/,"Mary Costa, Bill Shirley, Eleanor Audley, Verna Felton","/name/nm0314671/,/name/nm0488981/,/name/nm0718627/,/name/nm0527217/,/name/nm0182250/,/name/nm0794301/,/name/nm0041598/,/name/nm0271658/",151961,51600000
tt3387520,Scary Stories to Tell in the Dark,2019,2010s,PG-13,108,Adventure,6.2,"On Halloween 1968, Stella and her two friends meet a mysterious drifter, Ramón, and uncover a sinister notebook of stories.",André Øvredal,/name/nm0004217/,"Zoe Margaret Colletti, Michael Garza, Gabriel Rush, Austin Abrams","/name/nm2292661/,/name/nm3585613/,/name/nm3513522/,/name/nm3641002/",78785,62739086
tt4624424,Storks,2016,2010s,PG,87,Adventure,6.8,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.","Nicholas Stoller, Doug Sweetland",/name/nm0831557/,"Andy Samberg, Katie Crown, Kelsey Grammer, Jennifer Aniston","/name/nm0842339/,/name/nm1676221/,/name/nm1764070/,/name/nm0001288/,/name/nm0000098/",63828,72679278
tt0082406,The Fox and the Hound,1981,1980s,G,83,Adventure,7.2,"A little fox named Tod, and Copper, a hound puppy, vow to be best buddies forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test.","Ted Berman, Richard Rich, Art Stevens, David Hand, Wolfgang Reitherman",/name/nm0075859/,"Mickey Rooney, Kurt Russell, Pearl Bailey, Jack Albertson","/name/nm0723704/,/name/nm0828245/,/name/nm0359457/,/name/nm0718627/,/name/nm0001682/,/name/nm0000621/,/name/nm0047440/,/name/nm0016776/",95581,63456988
tt0166813,Spirit: Stallion of the Cimarron,2002,2000s,G,83,Adventure,7.2,"A wild stallion is captured by humans and slowly loses the will to resist training, yet, throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd.","Kelly Asbury, Lorna Cook",/name/nm0038432/,"Matt Damon, James Cromwell, Daniel Studi, Chopper Bernet","/name/nm0177170/,/name/nm0000354/,/name/nm0000342/,/name/nm0836070/,/name/nm0076718/",78461,73280117
tt0090056,Spies Like Us,1985,1980s,PG,102,Adventure,6.4,"Two bumbling government employees think they are U.S. spies, only to discover that they are actually decoys for Nuclear War.",John Landis,/name/nm0000484/,"Chevy Chase, Dan Aykroyd, Mark Stewart, Sean Daniel","/name/nm0000331/,/name/nm0000101/,/name/nm0829635/,/name/nm0199733/",50816,60088980
tt3416828,Ice Age: Collision Course,2016,2010s,PG,94,Adventure,5.6,"When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.","Michael Thurmeier, Galen T. Chu",/name/nm0862211/,"Ray Romano, Denis Leary, John Leguizamo, Chris Wedge","/name/nm1154886/,/name/nm0005380/,/name/nm0001459/,/name/nm0000491/,/name/nm0917188/",68880,64063008
tt0095776,Oliver & Company,1988,1980s,G,74,Adventure,6.6,A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.,George Scribner,/name/nm0780117/,"Joey Lawrence, Billy Joel, Cheech Marin, Richard Mulligan","/name/nm0005129/,/name/nm0005055/,/name/nm0001507/,/name/nm0612321/",49859,74151346
tt0364751,Without a Paddle,2004,2000s,PG-13,95,Adventure,5.8,"After their friend dies, three men decide to fulfill their childhood dream by going on a camping expedition for the lost D. B. Cooper bounty, with calamitous results.",Steven Brill,/name/nm0109359/,"Matthew Lillard, Seth Green, Dax Shepard, Matthew Price","/name/nm0000498/,/name/nm0001293/,/name/nm1009277/,/name/nm1677499/",49039,58169327
tt0076618,The Rescuers,1977,1970s,G,77,Adventure,6.9,Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.,"John Lounsbery, Wolfgang Reitherman, Art Stevens",/name/nm0522028/,"Bob Newhart, Eva Gabor, Geraldine Page, Joe Flynn","/name/nm0718627/,/name/nm0828245/,/name/nm0627878/,/name/nm0001247/,/name/nm0656183/,/name/nm0283499/",65810,71215869
tt6932874,The Boss Baby: Family Business,2021,2020s,PG,107,Adventure,5.9,"The Templeton brothers have become adults and drifted away from each other, but a new boss baby with a cutting-edge approach is about to bring them together again - and inspire a new family business.",Tom McGrath,/name/nm0569891/,"Alec Baldwin, James Marsden, Amy Sedaris, Ariana Greenblatt","/name/nm0000285/,/name/nm0005188/,/name/nm0781238/,/name/nm7567556/",19241,57300280
