movie_id,movie_name,year,certificate,runtime_in_minutes,genre,rating,description,director,director_id,star,star_id,votes,gross_in_dollars
tt4244998,Alpha,2018,PG-13,96,Data/Imdb/Action,6.6,"In the prehistoric past, a young man struggles to return home after being separated from his tribe during a buffalo hunt. He finds a similarly lost wolf companion and starts a friendship that would change humanity.",Albert Hughes,/name/nm0400436/,"Kodi Smit-McPhee, Jóhannes Haukur Jóhannesson, Marcin Kowalczyk, Jens Hultén","/name/nm2240346/,/name/nm1778512/,/name/nm5105099/,/name/nm0401638/",63695,35851379
tt4385026,Providence,2016,NA,79,Data/Imdb/Romance,7.6,"Rachel Cartwright and Mitchell Little both grow up in the small town of Providence, Tennessee. Their paths keep crossing and at one point it looks like they'll finally get together. But the...                See full summary »",Sharon Wilharm,/name/nm3755041/,"Juli Tapken, Rich Swingle, Jenn Gotzon, Stacey Bradshaw","/name/nm5434932/,/name/nm3061096/,/name/nm1342461/,/name/nm4951025/",71,8840
tt0056526,State Fair,1962,NA,118,Data/Imdb/Romance,5.9,A brother and sister find romance and good clean fun at the state fair in Dallas.,José Ferrer,/name/nm0001207/,"Pat Boone, Bobby Darin, Pamela Tiffin, Ann-Margret","/name/nm0004769/,/name/nm0201239/,/name/nm0863016/,/name/nm0000268/",1267,7630000
tt2528814,God's Not Dead,2014,PG,113,Data/Imdb/Adventure,4.6,"College philosophy professor Mr. Radisson's curriculum is challenged by his new student, Josh, who believes God exists.","Harold Cronk, Sreehari Purimetla",/name/nm1880561/,"Shane Harper, Kevin Sorbo, David A.R. White, Dean Cain","/name/nm10287477/,/name/nm2436499/,/name/nm0001757/,/name/nm0924684/,/name/nm0001002/",43402,60755732
tt0419766,Garçon stupide,2004,Unrated,94,Data/Imdb/Romance,6.2,"This coming-of-age drama deals with a young man, realizing who he really is and which things he will never do. Loic, 18 years old, being annoyed by his work in a chocolate factory, cruises ...                See full summary »",Lionel Baier,/name/nm0047049/,"Pierre Chatagny, Natacha Koutchoumov, Rui Alves, Khaled Khouri","/name/nm1669827/,/name/nm0468085/,/name/nm1674820/,/name/nm1489269/",1246,149651
tt1104083,Little Ashes,2008,R,112,Data/Imdb/Biography,6.4,"About the young life and loves of artist Salvador Dalí, filmmaker Luis Buñuel and writer Federico García Lorca.",Paul Morrison,/name/nm0607422/,"Robert Pattinson, Javier Beltrán, Matthew McNulty, Marina Gatell","/name/nm1500155/,/name/nm2779214/,/name/nm2439913/,/name/nm0309510/",9364,480339
tt1034415,Suspiria,2018,R,152,Data/Imdb/Fantasy,6.7,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.",Luca Guadagnino,/name/nm0345174/,"Chloë Grace Moretz, Tilda Swinton, Doris Hick, Malgorzata Bela","/name/nm1631269/,/name/nm0842770/,/name/nm0382566/,/name/nm1728249/",81903,2474044
tt3892172,Leave No Trace,2018,PG,109,Data/Imdb/Adventure,7.1,"A father and his thirteen-year-old daughter are living an ideal existence in a vast urban park in Portland, Oregon when a small mistake derails their lives forever.",Debra Granik,/name/nm0335138/,"Thomasin McKenzie, Ben Foster, Jeffery Rifflard, Derek John Drescher","/name/nm5057169/,/name/nm0004936/,/name/nm9286880/,/name/nm9583795/",61086,6046104
tt0221073,Chopper,2000,R,94,Data/Imdb/Biography,7.1,"Chopper tells the intense story of Mark ""Chopper"" Read, a legendary criminal who wrote his autobiography while serving a jail sentence in prison. His book, ""From the Inside"", upon which the film is based, was a best-seller.",Andrew Dominik,/name/nm0231596/,"Eric Bana, Simon Lyndon, Vince Colosimo, Renée Brack","/name/nm0051509/,/name/nm0528539/,/name/nm0173194/,/name/nm0102771/",39880,234259
tt1649780,"Peace, Love & Misunderstanding",2011,R,96,Data/Imdb/Romance,5.8,An uptight New York City lawyer takes her two teenagers to her hippie mother's farmhouse upstate for a family vacation.,Bruce Beresford,/name/nm0000915/,"Jane Fonda, Catherine Keener, Elizabeth Olsen, Nat Wolff","/name/nm0000404/,/name/nm0001416/,/name/nm0647634/,/name/nm1822659/",8520,539896
